210119,13:00:00,207.57,1,"(15.37, 0.81)"
210119,14:00:00,207.56,1,"(15.36, 0.81)"
210119,15:00:00,208.64,1,"(16.44, 0.87)"
210119,16:00:00,208.91,1,"(16.71, 0.89)"
210119,17:00:00,209.77,1,"(17.57, 0.93)"
210119,18:00:00,209.46,1,"(17.26, 0.92)"
210119,19:00:00,207.95,1,"(15.75, 0.84)"
220119,11:00:00,206.65,1,"(14.45, 0.77)"
220119,12:00:00,206.75,1,"(14.55, 0.77)"
220119,13:00:00,207.82,0,"(15.62, 0.83)"
220119,14:00:00,207.01,-1,"(15.62, 0.83)"
220119,15:00:00,206.85,-1,"(15.78, 0.84)"
220119,16:00:00,206.33,-1,"(16.3, 0.86)"
220119,17:00:00,207.0,-1,"(15.63, 0.83)"
220119,18:00:00,206.82,-1,"(15.81, 0.84)"
220119,19:00:00,207.6,-1,"(15.03, 0.8)"
230119,11:00:00,207.75,-1,"(14.88, 0.79)"
230119,12:00:00,209.44,-1,"(13.19, 0.7)"
230119,13:00:00,209.19,0,"(13.44, 0.71)"
230119,14:00:00,209.85,1,"(13.44, 0.71)"
230119,15:00:00,211.08,1,"(14.67, 0.78)"
230119,16:00:00,211.41,1,"(15.0, 0.8)"
230119,17:00:00,211.52,1,"(15.11, 0.8)"
230119,18:00:00,211.01,1,"(14.6, 0.77)"
230119,19:00:00,211.0,1,"(14.59, 0.77)"
240119,11:00:00,210.4,1,"(13.99, 0.74)"
240119,12:00:00,209.74,1,"(13.33, 0.71)"
240119,13:00:00,211.02,1,"(14.61, 0.77)"
240119,14:00:00,213.04,1,"(16.63, 0.88)"
240119,15:00:00,212.16,1,"(15.75, 0.84)"
240119,16:00:00,212.5,1,"(16.09, 0.85)"
240119,17:00:00,212.23,1,"(15.82, 0.84)"
240119,18:00:00,211.6,1,"(15.19, 0.81)"
240119,19:00:00,211.93,1,"(15.52, 0.82)"
250119,11:00:00,212.77,1,"(16.36, 0.87)"
250119,12:00:00,213.72,1,"(17.31, 0.92)"
250119,13:00:00,213.48,1,"(17.07, 0.91)"
250119,14:00:00,212.74,1,"(16.33, 0.87)"
250119,15:00:00,213.18,1,"(16.77, 0.89)"
250119,16:00:00,212.98,1,"(16.57, 0.88)"
250119,17:00:00,213.05,1,"(16.64, 0.88)"
250119,18:00:00,213.11,1,"(16.7, 0.89)"
250119,19:00:00,212.83,1,"(16.42, 0.87)"
